#OK
#SQL= select .1*(.5+floor((log10(m_Crit200)+10.)/.1)) as mass, 
#	       log10(count(*)/power(62.5,3.)/.1) as phi 
#	from millimil..MPAHalo 
#	where snapnum=63 and m_Crit200>0.
#	group by .1*(.5+floor((log10(m_Crit200)+10.)/.1)) 
#	order by mass
#MAXROWS UNLIMITED
#QUERYTIMEOUT 30 sec
#QUERYTIME 232 millisec
#COLUMN 1 name=mass JDBC_TYPE=8 JDBC_TYPENAME=float
#COLUMN 2 name=phi JDBC_TYPE=8 JDBC_TYPENAME=float
mass,phi
9.75,-1.7501502780479579
9.850000000000001,-1.5876106483163341
9.950000000000001,-1.4501221155431219
10.05,-1.1127896875438037
10.15,-0.8468101934493887
10.25,-0.7807214816121774
10.350000000000001,-0.8636335620030959
10.450000000000001,-0.9746757355638056
10.55,-0.9724996553645957
10.65,-1.0822886381138448
10.75,-1.165704407732463
10.850000000000001,-1.230485567654187
10.950000000000001,-1.333410097697071
11.05,-1.3950864897283328
11.15,-1.4727681900204181
11.25,-1.6219714528014544
11.350000000000001,-1.6683087205767417
11.450000000000001,-1.7334634656825079
11.55,-1.8498209124871943
11.65,-1.9343216675134307
11.75,-2.0259121715428754
11.850000000000001,-2.0998382776302424
11.950000000000001,-2.186242883240017
12.05,-2.2262720053254936
12.15,-2.379039835798551
12.25,-2.4685619151843947
12.350000000000001,-2.536381658841393
12.450000000000001,-2.5952483180622146
12.55,-2.6633641379596793
12.65,-2.734427493785125
12.75,-2.8561610905182135
12.850000000000001,-2.940481976218249
12.950000000000001,-3.086610011896487
13.05,-3.0654207128265494
13.15,-3.1571910861821944
13.25,-3.2415119718822303
13.350000000000001,-3.2415119718822303
13.450000000000001,-3.3876400075604685
13.55,-3.6886700032244497
13.65,-3.6886700032244497
13.75,-4.086610011896488
13.950000000000001,-4.086610011896488
